0.26 18.27 0.20 11.02 0.26
12.46 2.22 281.21 0.33 54.77
50.36 5.29 298.27 8.15 495.94
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
19.65 0.59 264.15 0.21 68.40
0.79 0.50 86.85 0.13 2.72
0.02 0.02 29.92 0.02 0.02
0.39 0.25 145.08 0.02 8.27
0.01 0.01 14.95 0.01 0.01
0.72 0.05 30.92 0.00 15.30
0.03 0.00 14.96 0.00 0.00
0.03 0.00 14.96 0.00 0.00
0.83 0.67 15.88 7.16 0.46
0.03 0.00 14.96 0.00 0.00
143.48 87.89 114.49 7.88 156.27
20.71 0.92 45.66 1.79 17.93
2.15 1.15 139.53 3.39 16.77
27.58 10.29 50.74 0.02 1.37
0.98 0.31 190.49 0.03 8.20
2.05 3.03 58.99 0.02 5.91
9.32 0.04 41.75 0.04 7.86
11.93 95.70 547.71 15.28 198.39
0.03 0.00 14.96 0.00 0.00
15.59 1.39 30.99 3.12 16.91
0.86 0.62 23.37 0.01 1.14
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 2.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 2.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 2.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.22 0.00 1.05 0.00 0.72
0.00 0.00 1.99 0.00 0.01
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.02 0.92 1.00 0.05 0.00
0.00 0.00 1.99 0.00 0.00
0.16 0.00 1.78 0.00 0.06
1.00 0.00 1.00 0.00 0.00
0.01 0.00 1.13 0.89 0.97
1.22 0.00 2.08 0.00 1.69
0.94 0.00 3.75 0.89 0.41
0.16 0.00 1.78 0.00 0.06
3.04 3.94 36.07 7.43 3.53
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
0.00 0.00 1.00 0.00 0.00
